sentence	label
Our special guest this morning as we have our first hearing or the hearing for the reappointment of Ms. Ness to the Federal Communications Commission.	N
I don't have much of a statement to make prior to the--I will reflect that in my questions, anI woulmove my spotlight to my ranking member on this Committee, Senator Hollings.	N
I include my statement in the recoranyielto our distinguisheSenators who are prepareto introduce the witness.	N
We appreciate your coming this morning anyour interest in this appointment, anI woulask at this time is Mr. Sarbanes ready to introduce his special guest?	N
I'm very pleaseto be here to indicate my very strong support for the reconfirmation of Susan Ness as the Commissioner of the Federal Communications Commission.	N
During her tenure there, she's chairethe Commission's Federal/State Joint Boarchargewith addressing universal telephone service issues.	D
She's been the Commission's learepresentative for the 1995-1997 WorlRadio Communications Conference.	D
She's currently a member of the National Association of Regulatory Utility Commissioners Committee on Communications anthe Federal Communications Bar Association.	D
The Committee knows well that she's been an active proponent of fair competition both domestically anglobally.	D
She's workeharto promote the advancement of new technologies, expaneconomic opportunities, reduce regulatory uncertainty.	D
She's playea key role in shaping policies for the efficient management of the radio spectrum.	D
She's creditewith helping to forge a consensus on the digital television standard, on guidelines to improve the quality anquantity of children's educational television program.	D
She's worketirelessly to facilitate delivery of advancetelecommunications systems to the classroom anto community libraries so that all children can participate in the telecommunications aninformation revolution.	D
She haa very distinguisherecorbefore coming to the Commission, although obviously her performance there is a critical standarin judging her reconfirmation.	D
She has been a senior lender to communication companies as the vice-president of a regional financial institution.	D
She has been a very active leader in our community in Maryland, a Chair of the Montgomery County Charter Review Commission, Vice Chair of the County's Task Force on Community Access to Television.	D
She has done I think a terrific job in handling some very tough problems before the Commission.	D
I think she's reflecteprudence, intelligence, fair anbalancejudgment anI strongly urge the Committee to permit her to carry forwarher goowork by reconfirming her for another term on the FCC.	D
I believe my senior colleague coverea lot of the information that I wish to convey as well anask unanimous consent that my statement go into the record.	N
Mr. Chairman, I, too, wholeheartedly endorse the renomination of Susan Ness to be a Commissioner at the FCC.	N
I think she brings competence, I think she brings experience anI think she brings a sense of community because sometimes we get so fascinateby technology--what are the new regulatory--we forget that really ultimately, telecommunications is to serve the consumer anto help bring the worltogether, either business to business or business to consumers or people to people.	D
She brought to the Commission initially an incredible educational background, a graduate from Douglass College, in addition to that, a law degree from Boston College anthen went on angot a Master's Degree in Business Administration from Wharton.	D
Now, that's a pretty excellent backgrounto bring to the technical issues facing FCC anthe neeto understanboth the law as well as the business aspects.	D
We have been particularly prouof the job she's done in the FCC anthe challenges that she's taken a very keen interest in improving children's educational TV, promoting universal service anuniversal access, again, a very keen interest to be sure that you don't have a digital divide in the UniteStates of America between our children who have access to technology anthose who don't, the roll-out of digital television, new wireless service, expanding competition in telephone anvideo, efficient spectrum management.	D
Then she's also taken the work of unnecessary regulations, not what else can we do but what don't we have to do so we don't have to shackle this new worlof E business anE buzz.	D
In her work at the Federal/State Joint Board, she has representeus in WorlRadio Communications conferences in Switzerland.	D
She was the FCC's rep in 1995 an1997 anone of the areas that she's expresseinterest in, I know the Committee was very strong in this, this opening overseas market.	D
If we invent it, we want to be able to sell it anI think she's been a real champion of that.	D
She's been recognizeby her peers, a recipient of the International Radio anTV Society Foundation.	D
Electronic Media nameher as one of 12 to watch in 1997 anshe was honoreby the Women of Wireless anthe American Women in Radio anTV for all of her efforts.	D
I know that her family's here anthey have been very prouof her work as the two Senators have, anI believe that she will ably do it, continue to do a very able job on the Commission.	D
