Sentencias;label
Our special guest this morning as we have our first hearing or the hearing for the reappointment of Ms. Ness to the Federal Communications Commission.;N
I don't have much of a statement to make prior to the--I will reflect that in my questions, and I would move my spotlight to my ranking member on this Committee, Senator Hollings.;N
I include my statement in the record and yield to our distinguished Senators who are prepared to introduce the witness.;N
We appreciate your coming this morning and your interest in this appointment, and I would ask at this time is Mr. Sarbanes ready to introduce his special guest?;N
I'm very pleased to be here to indicate my very strong support for the reconfirmation of Susan Ness as the Commissioner of the Federal Communications Commission.;N
During her tenure there, she's chaired the Commission's Federal/State Joint Board charged with addressing universal telephone service issues.;D
She's been the Commission's lead representative for the 1995-1997 World Radio Communications Conference.;D
She's currently a member of the National Association of Regulatory Utility Commissioners Committee on Communications and the Federal Communications Bar Association.;D
The Committee knows well that she's been an active proponent of fair competition both domestically and globally.;D
She's worked hard to promote the advancement of new technologies, expand economic opportunities, reduce regulatory uncertainty.;D
She's played a key role in shaping policies for the efficient management of the radio spectrum.;D
She's credited with helping to forge a consensus on the digital television standard, on guidelines to improve the quality and quantity of children's educational television program.;D
She's worked tirelessly to facilitate delivery of advanced telecommunications systems to the classroom and to community libraries so that all children can participate in the telecommunications and information revolution.;D
She had a very distinguished record before coming to the Commission, although obviously her performance there is a critical standard in judging her reconfirmation.;D
She has been a senior lender to communication companies as the vice-president of a regional financial institution.;D
She has been a very active leader in our community in Maryland, a Chair of the Montgomery County Charter Review Commission, Vice Chair of the County's Task Force on Community Access to Television.;D
She has done I think a terrific job in handling some very tough problems before the Commission.;D
I think she's reflected prudence, intelligence, fair and balanced judgment and I strongly urge the Committee to permit her to carry forward her good work by reconfirming her for another term on the FCC.;D
I believe my senior colleague covered a lot of the information that I wish to convey as well and ask unanimous consent that my statement go into the record.;N
Mr. Chairman, I, too, wholeheartedly endorse the renomination of Susan Ness to be a Commissioner at the FCC.;N
I think she brings competence, I think she brings experience and I think she brings a sense of community because sometimes we get so fascinated by technology--what are the new regulatory--we forget that really ultimately, telecommunications is to serve the consumer and to help bring the world together, either business to business or business to consumers or people to people.;D
She brought to the Commission initially an incredible educational background, a graduate from Douglass College, in addition to that, a law degree from Boston College and then went on and got a Master's Degree in Business Administration from Wharton.;D
Now, that's a pretty excellent background to bring to the technical issues facing FCC and the need to understand both the law as well as the business aspects.;D
We have been particularly proud of the job she's done in the FCC and the challenges that she's taken a very keen interest in improving children's educational TV, promoting universal service and universal access, again, a very keen interest to be sure that you don't have a digital divide in the United States of America between our children who have access to technology and those who don't, the roll-out of digital television, new wireless service, expanding competition in telephone and video, efficient spectrum management.;D
Then she's also taken the work of unnecessary regulations, not what else can we do but what don't we have to do so we don't have to shackle this new world of E business and E buzz.;D
In her work at the Federal/State Joint Board, she has represented us in World Radio Communications conferences in Switzerland.;D
She was the FCC's rep in 1995 and 1997 and one of the areas that she's expressed interest in, I know the Committee was very strong in this, this opening overseas market.;D
If we invent it, we want to be able to sell it and I think she's been a real champion of that.;D
She's been recognized by her peers, a recipient of the International Radio and TV Society Foundation.;D
Electronic Media named her as one of 12 to watch in 1997 and she was honored by the Women of Wireless and the American Women in Radio and TV for all of her efforts.;D
I know that her family's here and they have been very proud of her work as the two Senators have, and I believe that she will ably do it, continue to do a very able job on the Commission.;D
And I think anybody who brings her owns mitts is always prepared for anything that lies ahead so I wholeheartedly endorse her renomination.;D
Before we take your statement, Commissioner, we have been joined by the distinguished Senator from West Virginia.;N
I know it and that is the reason I called you last night with great respect to ask your permission if I could talk for about 60 seconds, and you said yes.;N
I want to do that because I so strongly support Susan Ness and I think it is incredibly important for the FCC that she be renominated.;N
She's taken from the telecommunication to regulation act every single aspect of that and worked it through.;D
We've spent endless hours working together overcoming problems and she's patient, understanding, knows it.;D
I didn't even know about The Wharton School until I was reading about it last night, but that's just another dimension.;N
She's been very strong on universal service, she's been very strong on consumer interest, and very strong on trying to get compromise for a digital television standard effective on that.;D
She's pushed to move new technologies toward the marketplace as quickly as possible, which I think is important for a Commissioner, and she's been a very effective advocate for spectrum management policies that create a level playing field for all kinds of technologies.;D
But given all that, still I think the experience is the thing which is so important, the stability which is needed on the FCC.;D
I sorely suspect that they're understaffed, that they're under-funded, and I will have questions for her on that, but I'm extremely supportive of her renomination.;N
I think it's an absolute must for the success of the FCC in a situation where all the work that she does is moving much more quickly than we in Congress, where our committees were set up just after the second World War are prepared to deal with them, so we really need Susan Ness.;D
Now we'll have a statement from Ms. Ness and welcome this morning and before this Committee.;N
Mr. Chairman, let me just say hearing all these laudatory statements, that I think of the comment made by Winston Churchill in July 1945.;N
We had VE Day on May the 8th of 1945 and the end of July, Mr. Churchill was voted out of office by Clement Atlee, and under the rule in the United Kingdom, you're supposed to be outside, which he was, of 10 Downing with his clothing rack and his chest of drawers.;N
Here was a fellow who had won the war to end all wars and in just 3 months' time they were getting rid of him.;N
And Ms. Ness has been held up now since, what, almost a year, having done an outstanding job.;D
As Churchill says, don't look for gratitude, which she's got some good friends here, and you waited entirely too long.;D
The only reason I asked, Mr. Chairman, for you to yield just a second is because I wanted to commend the Commission on its rulings with respect to Section 271 now that we have had Bell Atlantic.;N
You've instituted an Enforcement Bureau, and let's continue with that, because that's highly important that we don't think to just get approval and then they don't have to still comply with their 14-point checklist.;N
The lawyers for the Bell companies wrote those 14 points, and I'm very, very much along with Senator Rockefeller in support of your renomination, and I hope we can get it in the next markup here so we can get it to the floor.;N
Well, I think maybe with citing Churchill and his demise after World War II, it stood by the old Presbyterian saying that no good deed shall go unpunished, and we may be in that sort of a situation, but I understand that it is the Chairman of--the full Committee's intent is to move this nomination out of Committee, and that's what I understand now, anyway, and I think that's a good sign.;N
We've been joined by the distinguished Senator from North Dakota, west of the river, we might add, Senator Dorgan.;N
I think Senator Rockefeller indicated that this is a Commission that very much needs her continued leadership.;D
I voted for all of them and I'm proud they're there, but Commissioner Ness has been there and is the, as Senator Rockefeller indicated, the institutional memory.;N
But, more important from my standpoint and I think the standpoint of perhaps you and others, Mr. Chairman, is as we implement the Telecommunications Act, the use of the Universal Service Fund to build out the infrastructure for advanced telecommunications services will have a lot to do with how this country looks in the future.;N
It will have a lot to do with where people live, where jobs are created, where people move, where people do business.;N
If we have a country in which there is a digital divide and small towns and rural areas do not have the larger pipes or the advanced services through which data can move, they are destined not to attract economic development and jobs and new opportunities.;N
We must avoid that at all cost, and we must take steps and actions to make sure that the Universal Service Fund is used as the Act was written and intended.;N
The Universal Service Fund in the Telecommunications Act is designed not only to facilitate the services of telephones at affordable prices, and comparable service but in addition to that, we wrote into the Act that it relates to advanced telecommunications services or broadband, as well, so the connection of the Universal Service Fund to that requirement and that opportunity is critically important.;N
There's no one on the Commission who has a better understanding of that or understands the urgency of that better than Commissioner Ness.;D
As someone representing a rural state, it is imperative that we keep Commissioner Ness on that Commission fighting for those issues.;D
This is not a case of her fighting our fight on these issues at the expense of someone else.;N
It is the fact that the implementation of the Telecommunications Act is working quite well in some areas of the country.;N
There is robust, aggressive competition where there is an income stream to justify it, and we all understand that.;N
I just had a meeting a moment ago when a colleague of mine, Senator Burns, took out his Palm VII and someone said, ``Is that wireless?'';N
And the point he was making just by answering the inquiry was yeah, this is wireless and it's wonderful, I'm glad I have it this morning in Washington, DC but in Montana, it doesn't work.;N
Wouldn't work in North Dakota, either, because we don't have ubiquitous services all across this country and the build-;N
I think everyone at this dais at this point has an interest in seeing that rural areas experience the full flower of opportunity coming from the Telecommunications Act.;N
Well, like I said, the Chairman has already indicated that he is going to move this nomination out of Committee so we're happy about that.;N
Let me start off by--I don't know of anybody that I've had the opportunity to work with since I come to Washington, DC, and since you were put on the Commission that we have had a very, very good working relationship and I want--and I appreciate your accessibility.;N
Also, we've done some things in the country and you've been very, very, very active in furthering those things, and those things we are concerned about in rural areas and how universal service works and how we are seeing the roll-;D
There's a couple of areas that I have concerns about, if you would just help me along a little bit, that has to do with Section 706, of course, in the Telecom Act.;N
I had quite a lot to do with that Section and the build-out of technology into rural areas and this type thing and broadband deployment in this thing.;N
Could you give the Committee your view of the current state of that broadband roll-out in America and specifically in rural areas?;N
